City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
249,Caravelas,BR,78.51,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
251,San Policarpo,PH,78.85,overcast clouds,12.1791,125.5072,Agapita M. Nicart
253,Natal,BR,81.25,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
254,Joensuu,FI,66.69,overcast clouds,62.6012,29.7632,Original Sokos Hotel Kimmel
255,Scicli,IT,81.95,clear sky,36.7902,14.7014,Le Dimore Dei Venti
256,Bayevo,RU,66.15,few clouds,53.2833,80.7667,Гостиница «Кулунда»
258,Vila,PT,86.7,clear sky,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
260,Sobotka,PL,66.27,overcast clouds,50.8999,16.7444,Sobotel
262,Westport,US,82.44,clear sky,41.1415,-73.3579,The Westport Inn
265,Daultala,PK,82.62,broken clouds,33.1925,73.1413,Waheed garmints and cosmetic
266,Baie-Comeau,CA,65.14,few clouds,49.2168,-68.1489,Travelodge by Wyndham Baie-Comeau
268,Saint-Pierre,RE,69.48,clear sky,-21.3393,55.4781,Alize Plage
269,Kutum,SD,89.64,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
270,Banepa,NP,71.92,broken clouds,27.6298,85.5214,Dhulikhel Lodge Resort
272,Gaoual,GN,86.32,light rain,11.75,-13.2,Hotel koliba
273,Waingapu,ID,75.2,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
275,Varkkallai,IN,78.58,overcast clouds,8.7341,76.7067,Hindustan Beach Retreat
276,Temerloh,MY,75.18,overcast clouds,3.4483,102.4176,U Design Hotel Temerloh
277,Zhob,PK,79.03,broken clouds,31.3411,69.4481,ROOM # 105 DUBAI HOTEL ZHOB
278,Beatrice,US,85.44,clear sky,40.2681,-96.747,Victorian Inn Beatrice
279,Mezen,RU,69.1,scattered clouds,65.8522,44.24,Gostevoy Dom Everest
280,Paramonga,PE,65.97,overcast clouds,-10.6667,-77.8333,"Av Douglas Stephen, Los Chalets Paramonga, Lima, Perú"
282,Moose Factory,CA,69.93,light rain,51.2585,-80.6094,Cree Village Eco Lodge
283,Sarmanovo,RU,77.68,scattered clouds,55.2553,52.5891,Gostinitsa
285,Erzin,TR,75.11,clear sky,36.9559,36.2,Artemis Otel
287,Marsaxlokk,MT,81.21,few clouds,35.8419,14.5431,Water's Edge
288,Naze,JP,78.37,clear sky,28.3667,129.4833,Shishime Hotel
290,Presidencia Roque Saenz Pena,AR,87.44,overcast clouds,-26.7852,-60.4388,Hotel Gualok
291,Kijang,KR,75.58,overcast clouds,35.2442,129.2139,Samyang Beach Villa
292,Guerrero Negro,MX,74.77,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
294,Kozhevnikovo,RU,66.25,scattered clouds,56.2589,83.9714,"Gostinitsa ""Ot zakata do rassveta"""
295,Salinopolis,BR,82.89,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
296,Mahibadhoo,MV,82.18,overcast clouds,3.7833,72.9667,Omadhoo Inn
297,Grandview,US,87.66,clear sky,38.8858,-94.533,Holiday Inn Express & Suites Kansas City-Grandview
298,Chifeng,CN,70.02,clear sky,42.2683,118.9636,Junyu Tiancheng Hotel
299,Isiro,CD,67.23,broken clouds,2.7739,27.616,Guest House Hewa Bora
300,Ribeira Grande,PT,72.0,broken clouds,38.5167,-28.7,Quinta da Meia Eira
302,Rio Grande,BR,86.11,broken clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
303,Horodyshche,UA,72.7,broken clouds,49.2849,31.4451,Noyev Kovcheh
304,Pointe-Noire,CG,71.78,broken clouds,-4.7761,11.8635,Kactus Lodge
305,Faanui,PF,78.62,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
306,Cervo,ES,72.73,clear sky,43.6702,-7.4101,Hotel Spa Galatea
307,Kapoeta,SS,78.53,overcast clouds,4.7717,33.5903,Eastgate Hotel
310,Itarema,BR,85.95,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
311,Palmas Bellas,PA,79.25,broken clouds,9.2319,-80.0867,Antigua Residencia Galván
313,Uralets,RU,69.64,overcast clouds,57.6614,59.6497,Gora Belaya
314,Wilmington,US,83.95,overcast clouds,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
315,Linhares,BR,81.1,scattered clouds,-19.3911,-40.0722,Hotel Conceição
317,Senanga,ZM,66.2,clear sky,-16.1167,23.2667,Zango lodge
318,Praya,CV,76.39,scattered clouds,14.9215,-23.5087,LT Aparthotel
319,Erenhot,CN,77.79,clear sky,43.6475,111.9767,Erenhot Rurouni Youth Hostel
321,Jodhpur,IN,87.93,overcast clouds,26.2867,73.03,"Umaid Bhawan Palace, Jodhpur"
323,Namatanai,PG,78.12,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
326,Frata,RO,68.72,overcast clouds,46.7,24.05,
327,Hami,CN,84.74,broken clouds,42.8,93.45,Laoyutang Resort
328,North Ogden,US,87.48,clear sky,41.3072,-111.9602,Washington Estates Manufactured Home Community
329,Tanabe,JP,75.43,scattered clouds,33.7333,135.3667,美吉屋旅館
330,Aviles,ES,84.18,clear sky,43.5547,-5.9248,"Palacio de Avilés, Affiliated by Meliá"
331,Zhezkazgan,KZ,69.78,clear sky,47.8043,67.7144,Hotel Zumrat
332,Makakilo City,US,77.32,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
334,Ust-Kulom,RU,69.91,broken clouds,61.6864,53.6902,Ip Napalkov Vasiliy Dmitriyevich
337,Auki,SB,76.01,overcast clouds,-8.7676,160.7034,Auki Motel
339,Caucaia,BR,85.95,few clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
341,Tabuk,PH,75.13,clear sky,17.4189,121.4443,Golden Berries Hotel and Convention
342,Jibuti,DJ,85.73,light rain,11.5,42.5,Orchid Main Camp Goubet
343,Victoria,HK,86.38,few clouds,22.2855,114.1577,Mini Central
344,Zaysan,KZ,65.43,few clouds,47.4667,84.8667,Ерлан үй
345,Seoul,KR,76.39,moderate rain,37.5683,126.9778,Lotte Hotel Seoul
346,Lorengau,PG,81.34,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
347,Beberibe,BR,83.98,few clouds,-4.1797,-38.1306,Villa Arte Pousada Morro Branco
350,Biak,ID,74.03,overcast clouds,-0.9131,122.8766,Penginapan Kim
351,Shitanjing,CN,75.88,overcast clouds,39.2342,106.3439,Yingbin Hotel
352,Jalingo,NG,80.29,broken clouds,8.8833,11.3667,Debright Motel
353,Havelock,US,83.95,overcast clouds,34.8791,-76.9013,Sherwood Motel
355,Sao Jose Da Coroa Grande,BR,79.56,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
358,Manggar,ID,81.0,overcast clouds,-2.8833,108.2667,Guest Hotel
361,Dod Ballapur,IN,71.62,overcast clouds,13.2919,77.5431,OYO 40115 J P Palace
362,Bathsheba,BB,86.61,broken clouds,13.2167,-59.5167,Atlantis Hotel
363,Sobolevo,RU,65.28,overcast clouds,54.4299,31.8996,
365,Renqiu,CN,72.16,clear sky,38.6989,116.0936,City Garden Renqiu Meishicheng Store
367,Cap Malheureux,MU,70.47,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
